Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2023,January,Asia,Model Y,15992,16664,53718,82,483,1158.62,8004
2023,July,Middle East,Model S,10847,12451,56200,75,423,688.24,7468
2023,October,North America,Model X,14430,16568,74245,75,434,939.39,14245
2020,February,Asia,Model S,4432,4459,74310,82,461,306.47,11233
2018,October,Middle East,Model Y,12344,12656,109776,82,451,835.07,9141
2020,July,Europe,Model 3,462,528,94948,100,564,39.09,4517
2025,March,Asia,Model S,8661,8711,109345,82,486,631.39,10154
2025,January,Middle East,Model Y,11912,13561,102366,120,699,1248.97,9992
2024,November,Middle East,Model 3,11275,11994,92285,100,552,933.57,13106
2022,September,Europe,Model Y,15489,17302,65050,60,351,815.5,12600
2018,March,North America,Model X,11729,12123,65826,82,484,851.53,14164
2024,May,North America,Model S,6960,7990,71420,120,667,696.35,9546
2019,February,Europe,Cybertruck,10319,11482,115893,82,478,739.87,7360
2016,August,Europe,Model Y,11715,11833,99548,100,577,1013.93,3980
2015,December,Middle East,Model S,15775,17830,104362,82,482,1140.53,13137
2024,July,Middle East,Model S,9001,9785,93791,100,552,745.28,5532
2023,April,North America,Cybertruck,9117,9938,72916,120,706,965.49,13085
2016,February,Europe,Model X,18306,18871,57834,120,676,1856.23,3685
2020,July,Europe,Cybertruck,4897,5446,107955,100,588,431.92,3465
2022,December,Asia,Cybertruck,9301,10561,78689,82,472,658.51,8725
2023,June,Middle East,Model X,6595,7144,70105,60,358,354.15,12144
2015,June,Middle East,Model X,792,796,67671,75,439,52.15,13742
2016,October,Middle East,Model X,6991,7968,77791,60,332,348.15,10404
2017,October,Asia,Model Y,7013,7295,57068,60,335,352.4,4767
2016,January,Europe,Cybertruck,10790,10922,54225,120,674,1090.87,4914
2024,May,Asia,Cybertruck,11299,12253,58400,75,432,732.18,7281
2021,July,Asia,Cybertruck,813,861,51851,82,464,56.58,14712
2025,December,Middle East,Model 3,11157,12278,50941,82,459,768.16,11194
2015,May,Asia,Cybertruck,6406,7281,107578,75,448,430.48,11708
2023,September,North America,Model Y,5457,5597,104008,75,420,343.79,3970
2015,February,Asia,Model Y,10274,11717,59626,75,425,654.97,4361
2024,August,Europe,Model S,18033,18341,74337,60,352,952.14,10295
2024,June,North America,Model S,6762,7330,77857,75,437,443.25,3667
2025,January,Middle East,Model 3,11830,12840,71424,100,560,993.72,6926
2016,November,Europe,Model Y,5425,5434,79542,60,338,275.05,8832
2021,February,Europe,Cybertruck,11280,11681,81309,120,664,1123.49,14449
2022,June,Middle East,Model S,16010,17048,108007,75,443,1063.86,5266
2017,December,Middle East,Model 3,6204,6578,111921,120,713,663.52,13910
2023,October,Europe,Model Y,15912,17626,77442,82,488,1164.76,9720
2024,August,North America,Model X,15634,17484,103200,60,340,797.33,8446
2015,January,North America,Model S,11986,13302,91906,82,457,821.64,4871
2022,December,North America,Model 3,9044,9524,92233,100,565,766.48,13917
2016,November,Middle East,Model 3,15241,16019,55020,60,342,781.86,6734
2019,August,North America,Model 3,12337,13508,100474,60,337,623.64,11632
2019,August,Europe,Model Y,7734,7815,53964,100,556,645.02,9969
2019,November,Europe,Model Y,12351,13295,71005,120,669,1239.42,6416
2015,May,North America,Model X,4207,4719,116307,75,449,283.34,12040
2021,March,North America,Model 3,7810,8201,51802,75,425,497.89,12639
2023,November,Asia,Model Y,12368,12414,76864,82,456,845.97,11524
2017,October,Middle East,Model 3,8175,8433,106632,75,418,512.57,7111
2021,August,Europe,Model Y,18572,20884,53449,82,485,1351.11,9580
2024,May,Asia,Model X,11323,12990,54412,60,357,606.35,12768
2019,May,Europe,Model 3,7617,8126,100891,120,701,800.93,14848
2021,February,North America,Model S,4619,5064,98496,82,486,336.73,7108
2018,March,Asia,Model S,13913,14741,60942,75,440,918.26,7325
2022,November,Asia,Model Y,8693,9916,53773,75,412,537.23,10936
2021,December,Europe,Model Y,1560,1781,58846,120,718,168.01,5767
2022,November,Europe,Model 3,13850,15576,52912,120,661,1373.23,7476
2025,November,North America,Model X,3705,4248,105761,120,684,380.13,4816
2023,May,North America,Model S,7465,8189,84589,120,697,780.47,9530
2016,December,Middle East,Model S,15047,16200,84463,60,347,783.2,13386
2017,February,Middle East,Model X,16196,17766,118194,120,710,1724.87,3283
2018,June,North America,Model X,12022,13515,55613,100,573,1033.29,10561
2023,June,Asia,Model 3,7959,8183,69969,82,470,561.11,14452
2016,September,North America,Cybertruck,14749,16340,112318,75,415,918.13,11777
2016,August,North America,Cybertruck,3749,4159,118691,120,675,379.59,10850
2024,May,Europe,Model Y,15642,17561,70334,75,425,997.18,14231
2021,October,Asia,Model Y,9281,9926,82923,100,593,825.54,12153
2025,July,North America,Model S,8011,8218,92092,82,480,576.79,6804
2017,November,Europe,Model Y,15907,16243,89961,75,419,999.75,6343
2020,March,North America,Model S,10598,11956,97822,75,414,658.14,12394
2015,April,North America,Model X,11775,12612,56848,82,471,831.9,8681
2018,July,Asia,Model X,6137,6259,61112,75,448,412.41,13555
2025,February,Europe,Model X,16396,17730,105931,100,551,1355.13,14808
2020,April,North America,Model X,8284,9287,98501,100,577,716.98,11394
2015,December,North America,Model Y,10185,11376,57489,75,441,673.74,9495
2016,July,Asia,Model Y,14354,15074,51834,60,330,710.52,12980
2022,August,North America,Cybertruck,3869,4285,101998,82,453,262.9,5653
2024,April,Asia,Cybertruck,7394,7735,118946,120,708,785.24,4975
2025,July,Europe,Model Y,6151,6333,83574,100,594,548.05,9796
2024,July,Europe,Cybertruck,15180,16081,118827,100,590,1343.43,4919
2025,October,Middle East,Model X,8887,10011,85860,60,353,470.57,5152
2015,January,Europe,Cybertruck,2161,2465,112638,120,695,225.28,14062
2023,February,North America,Cybertruck,10316,11826,73185,100,555,858.81,9844
2022,August,Middle East,Model Y,4748,4952,61333,100,562,400.26,5698
2017,December,Europe,Model Y,13476,15390,111940,60,352,711.53,6329
2016,January,Middle East,Model S,16295,18414,90507,100,571,1395.67,11703
2021,September,Middle East,Model X,10573,11018,118056,75,418,662.93,11799
2016,August,Europe,Cybertruck,12772,13650,83929,120,669,1281.67,14348
2021,August,North America,Model 3,5906,5931,92357,60,341,302.09,6584
2018,November,North America,Cybertruck,8468,8695,77455,120,716,909.46,4694
2023,June,Middle East,Model 3,10752,11762,87666,82,478,770.92,4394
2023,October,Asia,Model Y,15077,15738,95904,75,436,986.04,5513
2020,February,North America,Cybertruck,9917,10003,68359,120,686,1020.46,4882
2023,February,Europe,Model 3,6474,7133,100757,100,598,580.72,6124
2018,January,Middle East,Cybertruck,8654,8791,74843,100,570,739.92,11109
2015,March,North America,Model S,14634,16060,109446,60,349,766.09,9819
2018,August,Europe,Model Y,14958,14989,95457,100,583,1308.08,12583
2017,March,Middle East,Cybertruck,8191,8781,96370,82,455,559.04,6466
2024,March,Asia,Model 3,11335,11881,52624,82,488,829.72,4675
2020,September,Asia,Model 3,10184,11425,87923,60,333,508.69,12193
2019,October,Europe,Model S,10077,11395,92918,60,334,504.86,14548
2019,April,Asia,Model 3,8852,9314,112689,75,448,594.85,8321
2016,July,Asia,Model X,8511,9241,91144,82,458,584.71,7346
2017,October,Europe,Model X,9182,9225,79633,120,665,915.9,10282
2016,June,Middle East,Model X,11524,11540,67268,82,480,829.73,14901
2019,January,Europe,Model X,6901,7866,114585,120,690,714.25,6934
2020,August,Asia,Model Y,8893,9242,54689,75,413,550.92,5936
2019,April,Middle East,Model S,9594,10233,90358,60,359,516.64,5899
2016,December,Asia,Model S,20577,21279,117482,120,714,2203.8,11665
2020,October,Middle East,Model 3,12790,13152,90144,100,560,1074.36,13339
2024,August,Europe,Model Y,8042,8208,97137,82,475,572.99,6533
2021,June,Europe,Cybertruck,11325,12940,51554,120,678,1151.75,14052
2020,March,Middle East,Model 3,14117,15703,69062,120,667,1412.41,6023
2023,September,Asia,Cybertruck,5515,5939,97302,82,490,405.35,6044
2021,June,Middle East,Model S,8875,9724,70171,60,337,448.63,11766
2024,July,North America,Model 3,12960,13431,104158,60,345,670.68,14135
2020,March,Asia,Model S,6935,7126,90386,82,457,475.39,7274
2022,January,Middle East,Cybertruck,7872,7975,112547,100,569,671.88,6760
2020,March,Asia,Model X,9500,9611,111688,75,415,591.38,11481
2025,March,Asia,Model Y,10220,10814,92915,100,552,846.22,9077
2015,April,Middle East,Cybertruck,6410,6747,58195,82,456,438.44,12138
2019,November,Asia,Model X,499,545,116233,120,694,51.95,9482
2018,May,Asia,Cybertruck,5386,5479,111829,60,342,276.3,7647
2022,September,Asia,Model X,12131,13532,82363,60,351,638.7,11831
2024,August,Asia,Model Y,8752,8801,92387,75,430,564.5,4269
2023,October,Europe,Model S,11280,12141,87264,120,676,1143.79,13939
2015,July,Asia,Model Y,8461,8784,97705,100,588,746.26,10147
2019,October,North America,Model S,10325,10402,60494,100,576,892.08,9909
2018,November,Asia,Model Y,11974,12019,98303,100,565,1014.8,3668
2018,November,Europe,Model Y,9189,9621,94495,120,681,938.66,4782
2018,June,North America,Model Y,15956,17939,104843,75,422,1010.01,14290
2021,May,Asia,Model 3,10336,11854,68779,60,331,513.18,11460
2020,January,Asia,Cybertruck,15152,16661,73686,60,358,813.66,13946
2017,February,North America,Cybertruck,4224,4356,75810,60,341,216.06,3628
2025,November,Europe,Model Y,8475,9309,95766,75,416,528.84,6826
2023,April,Middle East,Model 3,4093,4244,50630,100,561,344.43,4652
2023,February,Middle East,Model Y,2972,3384,108025,75,416,185.45,4297
2020,October,North America,Cybertruck,8208,8804,74850,75,424,522.03,14566
2018,September,Asia,Cybertruck,14260,14838,67415,60,358,765.76,6579
2018,June,Europe,Model Y,7570,8501,107844,75,434,492.81,7237
2025,September,Asia,Model 3,13486,13929,97498,75,434,877.94,9635
2022,January,North America,Model Y,12149,12201,98287,120,688,1253.78,4492
2024,June,Europe,Model 3,12547,14095,66166,60,332,624.84,14753
2024,May,Asia,Model 3,10084,10225,62086,82,451,682.18,10123
2024,March,Asia,Model Y,11566,12885,83990,82,465,806.73,8020
2017,September,Asia,Model X,5933,5952,75230,82,483,429.85,9794
2015,September,Asia,Model X,7909,8216,76578,82,475,563.52,6216
2015,February,Middle East,Model Y,11172,11180,61257,100,577,966.94,11302
2025,July,North America,Model 3,6187,6687,98364,100,571,529.92,13248
2017,December,Asia,Model Y,9237,9445,117765,100,572,792.53,9018
2015,May,Asia,Model S,13489,13580,69667,120,717,1450.74,13683
2020,January,Europe,Model S,16543,17897,75160,75,415,1029.8,5320
2024,November,Europe,Model Y,5572,5749,76204,100,563,470.56,4059
2022,August,Europe,Model X,5100,5665,77782,75,422,322.83,7505
2019,October,Middle East,Model S,10077,10790,84322,82,485,733.1,12983
2020,July,North America,Cybertruck,9320,9944,50497,82,484,676.63,7317
2015,November,Middle East,Model 3,20107,22594,74347,120,700,2111.23,9788
2017,February,Asia,Model S,10163,10570,108484,82,451,687.53,7549
2022,January,North America,Model S,20667,23519,53441,82,474,1469.42,13243
2017,January,Middle East,Cybertruck,13497,14260,117485,75,415,840.19,11244
2024,February,North America,Model Y,6847,7872,80315,120,702,720.99,5191
2022,September,Middle East,Model 3,14126,14145,52308,82,485,1027.67,11208
2020,October,Europe,Model Y,2923,3338,108972,75,439,192.48,3935
2021,April,Middle East,Cybertruck,10226,10533,64770,82,479,734.74,5636
2024,December,Middle East,Model Y,6349,7036,106747,120,684,651.41,11957
2023,August,Middle East,Model 3,10874,12275,55371,60,333,543.16,8942
2021,June,North America,Model S,9313,10131,118325,120,691,965.29,13863
2020,January,Middle East,Model X,19577,21213,101985,60,338,992.55,9779
2020,November,Middle East,Model 3,8660,8911,64726,75,413,536.49,13760
2024,March,Middle East,Model Y,10989,12555,119913,82,466,768.13,6585
2021,December,Middle East,Model 3,8284,9097,99652,100,579,719.47,7286
2019,December,Middle East,Model X,14160,15916,89386,120,705,1497.42,11563
2021,June,North America,Model X,7939,8893,92307,60,335,398.93,8937
2018,December,Asia,Model Y,11849,13148,103882,82,490,870.9,9882
2018,February,Asia,Model S,14166,16177,78015,100,589,1251.57,6191
2015,December,Asia,Cybertruck,4993,5640,83125,100,598,447.87,5226
2018,January,Asia,Model X,3922,4416,65487,120,682,401.22,12700
2025,December,Asia,Model X,13671,15308,67998,60,348,713.63,8520
2019,October,Middle East,Model 3,3237,3475,90094,120,674,327.26,12527
2024,June,Europe,Model S,9874,11229,119243,100,593,878.29,14973
2020,January,Europe,Cybertruck,8186,8985,107716,60,342,419.94,3877
2019,June,Europe,Model S,14287,16241,80739,75,413,885.08,7347
2023,December,Middle East,Model 3,9203,10426,101084,60,334,461.07,9789
2019,June,North America,Model X,6397,7290,51725,82,479,459.62,11703
2019,November,Europe,Model X,10964,12047,119239,120,675,1110.1,11064
2021,March,Asia,Model X,11349,11618,81896,100,580,987.36,11302
2024,January,Middle East,Cybertruck,9756,10011,93532,60,330,482.92,7794
2018,September,North America,Cybertruck,10028,10999,85740,60,333,500.9,6744
2015,August,North America,Model Y,14575,16529,105202,120,669,1462.6,6740
2025,October,Asia,Model 3,15394,15397,89197,120,695,1604.82,14664
2018,July,Asia,Model S,11739,13264,54173,100,584,1028.34,4679
2017,December,Middle East,Model X,16989,17788,98374,82,462,1177.34,5287
2025,June,Europe,Model X,9221,10089,108824,120,668,923.94,13264
2016,February,North America,Cybertruck,13985,14888,67410,100,580,1216.69,11481
2015,April,Middle East,Model S,10084,11453,56390,100,565,854.62,14400
2016,August,Middle East,Model S,3747,4007,113645,120,692,388.94,8973
2024,May,North America,Model X,13980,15377,110957,100,593,1243.52,9947
2025,April,Asia,Model 3,8438,9651,94712,100,592,749.29,9480
2016,August,Middle East,Model 3,11195,12575,76629,60,353,592.78,14573
2020,September,Europe,Model S,3028,3350,53638,82,486,220.74,8499
2024,March,North America,Model 3,7874,7878,84682,60,333,393.31,12052
2022,December,North America,Model Y,14239,15200,72759,75,430,918.42,12824
2017,June,Middle East,Model S,11053,11464,65008,75,422,699.65,5970
2023,October,Europe,Cybertruck,4070,4344,95267,100,597,364.47,12534
2020,May,Middle East,Model 3,9239,9839,105978,100,586,812.11,8115
2022,August,North America,Model 3,15396,17005,91077,120,709,1637.36,3867
2018,August,Asia,Model X,11344,11779,65446,82,456,775.93,13309
2021,June,Europe,Model Y,2784,2834,99247,60,349,145.74,7487
2015,February,Middle East,Model 3,5052,5602,112798,75,445,337.22,12358
2024,April,Europe,Model S,9469,10565,114961,100,563,799.66,7018
2023,December,North America,Model Y,9486,9874,71184,75,435,618.96,8259
2024,May,Europe,Cybertruck,8761,8977,52951,75,429,563.77,12614
2019,January,Middle East,Model X,13208,14709,69734,60,339,671.63,14095
2021,July,Asia,Model 3,8967,9082,62842,60,352,473.46,3263
2019,September,North America,Model X,1930,2093,114173,60,354,102.48,8413
2022,November,Asia,Model X,7397,7921,97399,60,356,395,11990
2017,October,Middle East,Model S,11917,12332,59078,60,337,602.4,7263
2018,January,Europe,Model Y,2368,2385,53694,100,584,207.44,8495
2016,September,Asia,Model X,11133,11512,108593,100,563,940.18,10714
2021,April,Middle East,Model 3,8550,8715,82792,120,695,891.34,3371
2021,November,Europe,Cybertruck,7825,8121,106751,60,358,420.2,4631
2018,June,Europe,Model S,128,143,116537,82,451,8.66,14790
2017,July,Middle East,Model 3,7161,7274,65565,100,575,617.64,10293
2015,June,Asia,Cybertruck,7201,8144,114461,75,414,447.18,6322
2016,September,Middle East,Model X,6101,6994,57750,60,342,312.98,3504
2021,October,Europe,Model S,9675,10252,85954,82,483,700.95,7483
2025,October,Europe,Model Y,8720,9521,98180,100,575,752.1,8707
2015,May,Europe,Cybertruck,10050,10998,98702,75,429,646.72,10530
2023,September,North America,Model X,15098,15229,115038,82,460,1041.76,14996
2018,February,Asia,Model Y,11445,11972,88252,60,342,587.13,4922
2021,October,Asia,Model S,3157,3343,77144,100,564,267.08,6222
2015,January,Asia,Model 3,8795,9165,87989,82,456,601.58,12626
2016,March,North America,Cybertruck,13927,15011,83543,75,413,862.78,7094
2019,June,Europe,Model 3,12163,13001,53857,75,428,780.86,8628
2019,December,Asia,Model 3,11220,12431,56030,60,343,577.27,5087
2021,January,North America,Model S,10139,10942,106742,60,352,535.34,10965
2025,April,Asia,Model Y,9751,10553,50246,100,552,807.38,5410
2025,April,Asia,Model X,11382,12375,110681,82,490,836.58,11104
2024,December,Europe,Model Y,6662,7463,114055,82,482,481.66,12869
2021,July,Europe,Model Y,14909,15392,91361,75,446,997.41,12573
2024,June,Europe,Cybertruck,9170,9703,62992,120,707,972.48,7992
2022,January,Europe,Model X,15237,17350,57875,75,416,950.79,6996
2018,July,Asia,Model 3,11901,12643,88401,75,427,762.26,9235
2024,March,Europe,Model X,9744,10496,59151,82,459,670.87,10874
2018,September,Middle East,Model S,15810,17649,77519,120,668,1584.16,3128
2017,January,Middle East,Model 3,8688,9781,50267,75,421,548.65,11890
2022,June,North America,Model X,15131,16082,63580,75,423,960.06,9061
2016,May,Middle East,Model S,16846,19100,116873,60,353,892,6784
2017,February,Middle East,Model S,12872,14359,106501,82,455,878.51,6186
2020,August,Europe,Model Y,4607,5003,94618,82,473,326.87,11859
2019,March,Middle East,Model S,12284,12804,69531,75,427,786.79,14985
2025,April,Middle East,Cybertruck,11544,11617,91073,75,422,730.74,3389
2022,June,North America,Model 3,6816,7670,61386,82,486,496.89,11241
2022,June,Europe,Model S,12296,13578,78661,82,486,896.38,6575
2023,August,Asia,Model S,7201,7619,92014,60,345,372.65,11334
2016,June,Middle East,Model 3,13013,14255,103279,120,669,1305.85,8538
2025,June,Asia,Cybertruck,8638,8830,99143,82,480,621.94,11090
2020,June,Asia,Model X,7718,7890,85699,60,343,397.09,13809
2021,October,Middle East,Model S,10632,11812,87999,60,345,550.21,7173
2017,April,Asia,Model S,416,466,108508,75,424,26.46,11323
2020,February,Europe,Model X,10403,11265,58032,60,333,519.63,9354
2024,October,Middle East,Cybertruck,11501,12292,91552,60,338,583.1,10750
2018,December,Middle East,Model X,13653,14025,80124,75,418,856.04,11479
2022,May,Asia,Model Y,4849,5434,75892,75,436,317.12,11704
2023,December,North America,Model 3,5102,5378,109655,75,433,331.37,11614
2019,March,Europe,Model Y,9962,10229,112380,75,429,641.05,11516
2019,July,Asia,Model X,8330,8492,95040,75,419,523.54,4171
2024,October,Asia,Model Y,9150,10087,115850,82,478,656.05,13455
2019,February,Middle East,Model 3,9029,9256,74836,82,467,632.48,3688
2021,December,Middle East,Cybertruck,12810,13469,78749,60,351,674.45,9138
2015,August,Asia,Model Y,15381,16421,57927,60,359,828.27,13066
2017,June,North America,Model S,9078,10082,99319,82,468,637.28,7158
2021,February,Asia,Model S,11057,11975,115158,75,412,683.32,11978
2017,December,North America,Model Y,11318,12678,77447,82,481,816.59,4505
2020,January,Asia,Model X,10621,10724,82601,75,421,670.72,8637
2018,September,Middle East,Model 3,11696,12343,75003,60,340,596.5,9246
2017,January,Europe,Model X,10853,10934,55103,120,684,1113.52,6543
2017,April,Middle East,Cybertruck,15689,17358,61712,75,441,1037.83,10005
2019,October,North America,Model 3,9848,10801,51188,75,448,661.79,3535
2019,August,Middle East,Cybertruck,16904,17438,66570,100,581,1473.18,12959
2017,February,Asia,Model X,249,268,91659,75,412,15.39,8569
2017,August,Asia,Model Y,1177,1215,96318,120,689,121.64,3063
2024,June,Middle East,Model 3,13451,13642,72454,82,466,940.22,10471
2021,December,North America,Cybertruck,5022,5211,62150,60,358,269.68,13255
2019,March,Asia,Model X,11583,12335,87488,100,573,995.56,7670
2023,January,Asia,Model 3,6659,7582,77831,120,697,696.2,12357
2019,October,Asia,Model S,7860,8594,74925,82,483,569.46,5804
2025,April,Middle East,Model 3,14345,15265,94878,82,490,1054.36,13075
2015,June,Middle East,Model 3,8899,9724,75824,100,573,764.87,11969
2018,February,North America,Model S,7777,8238,62725,100,557,649.77,12927
2025,February,Middle East,Model Y,7540,8505,90015,82,469,530.44,4795
2023,March,Asia,Cybertruck,8116,8848,92442,75,426,518.61,13853
2019,July,North America,Model 3,11549,12620,104702,120,702,1216.11,13013
2022,July,Asia,Model S,13013,13750,82457,60,332,648.05,10307
2018,June,Asia,Model S,11866,12603,117056,60,346,615.85,10261
2015,June,Middle East,Cybertruck,14478,15062,76410,75,413,896.91,6864
2017,September,Middle East,Model 3,10579,11779,80961,75,439,696.63,7670
2025,January,Europe,Cybertruck,10166,11068,101384,100,575,876.82,12767
2024,November,Asia,Model S,6687,7081,54489,120,673,675.05,12514
2025,October,North America,Model X,16033,16582,79611,82,473,1137.54,13663
2017,August,Middle East,Model S,12673,14159,102622,60,354,672.94,9216
2016,July,Europe,Cybertruck,13821,14501,80381,100,554,1148.53,5647
2016,February,Europe,Model Y,12910,12986,58548,60,343,664.22,14206
2015,March,Europe,Model 3,6612,7456,72185,82,457,453.25,9681
2019,February,Asia,Model 3,10886,11220,105860,60,352,574.78,3765
2018,August,Middle East,Model 3,6056,6666,101052,75,434,394.25,5481
2018,March,Asia,Model Y,17318,18386,79924,120,679,1763.84,9770
2020,January,Middle East,Cybertruck,6748,7252,73067,75,429,434.23,13283
2019,September,Europe,Model 3,10984,11720,104459,60,336,553.59,4974
2015,January,North America,Cybertruck,6367,6802,104962,82,459,438.37,9170
2021,August,Middle East,Model S,10233,11730,73327,120,695,1066.79,4082
2019,June,Middle East,Model X,11186,11734,74473,120,695,1166.14,6290
2018,June,Middle East,Model X,17589,17847,53085,60,335,883.85,9495
2017,November,North America,Model 3,6667,7125,100750,100,578,578.03,11006
2022,February,Middle East,Model S,4371,4439,106905,75,413,270.78,10907
2024,February,Middle East,Model X,12916,13789,79673,60,345,668.4,14340
2019,October,Europe,Model Y,10554,11418,56263,100,570,902.37,13239
2017,May,Asia,Cybertruck,2895,3028,74707,60,348,151.12,7008
2015,March,Asia,Model S,12060,13504,95497,82,479,866.51,12549
2018,July,Asia,Model Y,16516,18763,119407,75,420,1040.51,7265
2023,April,North America,Model X,12491,12935,70207,100,596,1116.7,12908
2022,August,North America,Model Y,17669,18984,107731,120,684,1812.84,4228
2018,June,Asia,Model Y,7543,7633,80928,100,558,631.35,5213
2019,August,Middle East,Model S,11957,12248,117182,82,485,869.87,13365
2019,November,Europe,Model 3,9749,11099,88138,120,676,988.55,11428
2022,December,Europe,Model 3,13091,14830,101032,120,715,1404.01,6991
2019,January,Asia,Model 3,12370,13923,66787,75,419,777.45,9058
2016,August,Middle East,Cybertruck,14320,14659,98713,60,353,758.24,6801
2015,January,Middle East,Cybertruck,8803,9344,102889,60,336,443.67,3923
2017,November,North America,Cybertruck,9790,10499,108676,60,340,499.29,13317
2015,February,Middle East,Model S,5076,5146,112805,60,357,271.82,10597
2025,May,Middle East,Model Y,9312,10589,59819,60,346,483.29,10117
2017,March,North America,Cybertruck,16322,16958,74163,82,488,1194.77,6486
2018,November,North America,Model S,9342,9740,70228,82,466,653.01,7719
2022,September,North America,Model 3,11967,12515,102122,75,414,743.15,5631
2022,November,Asia,Model S,12632,13778,92986,120,691,1309.31,4102
2017,March,Middle East,Model X,11422,13008,66007,82,477,817.24,5664
2022,February,Europe,Model S,3095,3369,101540,60,347,161.09,3801
2025,October,North America,Model 3,5566,5721,63888,100,573,478.4,8899
2016,January,Europe,Model S,8875,9097,57320,82,477,635.01,11477
2018,April,North America,Cybertruck,5716,6185,62225,75,423,362.68,10965
2020,November,Europe,Cybertruck,10137,10384,112652,100,584,888,5998
2015,August,Asia,Cybertruck,10222,11128,77930,60,331,507.52,7022
2022,January,Europe,Model 3,4738,5389,59378,120,700,497.49,3052
2017,August,Europe,Model S,13987,15741,107497,75,444,931.53,8821
2025,July,Asia,Model X,16163,18239,71701,82,467,1132.22,7278
2020,August,Europe,Model 3,11092,11149,84830,100,557,926.74,5195
2017,May,Europe,Cybertruck,8571,8637,85336,75,439,564.4,13351
2022,April,Middle East,Model Y,14998,16569,99276,120,689,1550.04,13978
2022,July,Middle East,Model 3,14063,14945,80860,100,581,1225.59,12293
2023,August,Europe,Model S,10073,11143,59410,60,354,534.88,10273
2015,July,Europe,Model X,6676,7646,110586,100,590,590.83,6094
2025,November,Middle East,Cybertruck,12586,14301,106596,82,487,919.41,3139
2023,May,Europe,Model 3,9249,10571,110580,100,564,782.47,4911
2019,February,North America,Model S,9582,10448,55580,120,700,1006.11,14190
2025,November,Middle East,Model 3,4645,4827,65577,82,480,334.44,4017
2015,October,Asia,Model S,9702,9971,87933,100,593,862.99,11786
2019,September,Middle East,Cybertruck,9845,11013,64064,75,442,652.72,13201
2019,February,Asia,Model X,3999,4181,118806,120,698,418.7,11612
2017,November,Middle East,Cybertruck,15553,16347,85741,100,580,1353.11,13927
2017,July,Europe,Model 3,8884,8977,62995,100,583,776.91,13580
2015,October,North America,Model S,11024,12017,96553,100,558,922.71,13972
2016,April,North America,Model 3,4520,4991,78302,82,468,317.3,11611
2025,March,Europe,Model Y,10934,11208,118492,82,466,764.29,4283
2019,June,North America,Model S,10583,11908,99725,75,416,660.38,11831
2025,May,Asia,Model S,10564,10708,80551,100,579,917.48,9264
2025,July,Asia,Model Y,7894,8880,53104,120,678,802.82,11152
2019,June,Europe,Cybertruck,1126,1171,72097,120,667,112.66,10866
2024,March,Europe,Model S,8148,8654,53119,82,483,590.32,11144
2020,March,North America,Model Y,12915,14450,63084,100,553,1071.3,14982
2015,January,Middle East,Model 3,11446,12752,89289,100,588,1009.54,8925
2025,December,North America,Model X,6293,6849,67798,82,461,435.16,8860
2017,April,Europe,Model 3,17905,19292,103114,120,676,1815.57,7236
2017,September,Middle East,Model Y,11470,11834,119694,75,449,772.5,10794
2024,December,North America,Model X,13738,14740,59412,120,677,1395.09,10949
2025,January,Asia,Model X,12017,12840,72979,82,457,823.77,5011
2021,April,North America,Cybertruck,9651,10024,111945,120,694,1004.67,5653
2018,December,Middle East,Cybertruck,12282,13313,110055,100,583,1074.06,8224
2024,September,Asia,Model 3,11553,12716,77242,120,689,1194,14878
2018,April,Middle East,Model X,13505,14142,56765,100,558,1130.37,14848
2015,December,Europe,Model S,11116,12262,54749,60,339,565.25,11498
2023,August,Asia,Cybertruck,12453,13590,78825,60,344,642.57,7974
2022,June,Middle East,Cybertruck,4608,4831,72309,120,686,474.16,10514
2025,November,Europe,Model X,7622,8449,63017,100,595,680.26,12934
2024,June,Middle East,Model X,6679,6837,110242,75,429,429.79,14004
2023,September,Europe,Model S,6918,7421,74773,120,713,739.88,4990
2022,January,Asia,Model Y,9065,9932,94011,82,473,643.16,14836
2019,May,Europe,Model S,14511,15227,98536,120,705,1534.54,6649
2016,December,Europe,Cybertruck,8855,9679,64092,120,683,907.19,3473
2018,December,Asia,Cybertruck,14998,15151,112818,100,555,1248.58,6934
2025,November,Middle East,Model Y,15263,17269,109650,60,358,819.62,9976
2017,August,Middle East,Cybertruck,14286,15301,100148,75,422,904.3,5427
2025,March,Asia,Model 3,12262,13318,106918,100,589,1083.35,13681
2020,January,Middle East,Model Y,9318,10366,98538,120,719,1004.95,6334
2019,October,Middle East,Model Y,9541,9782,82247,60,339,485.16,3421
2020,November,Middle East,Model S,6085,6176,71674,60,349,318.55,10989
2025,December,Europe,Model S,11374,11433,82811,60,341,581.78,4642
2021,May,Europe,Model X,12865,13825,108927,60,354,683.13,7926
2025,September,Asia,Model X,12084,13554,65151,75,442,801.17,7795
2020,June,North America,Model S,12434,12801,64948,100,583,1087.35,7860
2025,July,Europe,Model 3,16165,17476,114909,60,357,865.64,9152
2021,September,North America,Model Y,11828,12035,119010,120,678,1202.91,4563
2015,September,North America,Model S,8924,9038,119781,120,690,923.63,10144
2022,February,North America,Cybertruck,10571,11285,50815,60,346,548.63,10938
2018,December,Middle East,Model 3,8351,9440,56169,75,441,552.42,13170
2025,September,Europe,Model X,6319,6848,110295,60,354,335.54,6384
